group,slug_or_type,local_file,source_page,alt,license_note
destinations,dubai,static/assets/images/real/destinations/dubai-01.jpg,https://unsplash.com/photos/dubais-skyline-featuring-the-burj-khalifa-lMo2HjtoUpM,Dubai skyline luxury travel,Free to use under the Unsplash License
destinations,london,static/assets/images/real/destinations/london-01.jpg,https://unsplash.com/photos/the-london-skyline-is-viewed-across-the-water-U2qtuMlqlwk,London skyline over the water,Free to use under the Unsplash License
destinations,tokyo,static/assets/images/real/destinations/tokyo-01.jpg,https://unsplash.com/photos/tokyos-skyline-features-the-iconic-tokyo-tower-2HfT7Riy6_o,Tokyo skyline with Tokyo Tower,Free to use under the Unsplash License
destinations,paris,static/assets/images/real/destinations/paris-01.jpg,https://unsplash.com/photos/paris-skyline-with-the-eiffel-tower-in-view-qkRgQunUznI,Paris skyline with Eiffel Tower,Free to use under the Unsplash License
destinations,singapore,static/assets/images/real/destinations/singapore-01.jpg,https://unsplash.com/photos/marina-bay-sands-hotel-dominates-the-singapore-skyline-1eWyU9uLRJk,Singapore skyline with Marina Bay Sands,Free to use under the Unsplash License
destinations,rome,static/assets/images/real/destinations/rome-01.jpg,https://unsplash.com/photos/ancient-roman-colosseum-bathed-in-warm-sunset-light-EsbbHe72pos,Rome Colosseum at sunset,Free to use under the Unsplash License
airports,airport_generic,static/assets/images/real/airports/airport-terminal-01.jpg,https://unsplash.com/photos/modern-airport-terminal-interior-with-signage-41hSF3FjUOc,Modern airport terminal interior with signage,Free to use under the Unsplash License
airports,airport_generic,static/assets/images/real/airports/airport-terminal-02.jpg,https://unsplash.com/photos/modern-airport-terminal-with-moving-walkway-and-elevators-VG_aoAJVevA,Modern airport terminal with moving walkway,Free to use under the Unsplash License
airports,airport_generic,static/assets/images/real/airports/airport-terminal-03.jpg,https://unsplash.com/photos/empty-airport-concierge-RYWC1OPWt9Q,Airport waiting area and concierge zone,Free to use under the Unsplash License
lounges,lounge_generic,static/assets/images/real/lounges/lounge-01.jpg,https://unsplash.com/photos/modern-airport-lounge-with-rows-of-seats-sVsVcdus5nU,Modern airport lounge with rows of seats,Free to use under the Unsplash License
cabins,cabin_generic,static/assets/images/real/cabins/cabin-01.jpg,https://unsplash.com/photos/inside-of-an-airplane-cabin-looking-up-gXHI37hBeu0,Airplane cabin interior,Free to use under the Unsplash License
cabins,cabin_generic,static/assets/images/real/cabins/cabin-02.jpg,https://unsplash.com/photos/a-view-of-the-inside-of-an-airplane-H9n2-GFQ3LU,Airplane cabin interior mood shot,Free to use under the Unsplash License
cabins,cabin_generic,static/assets/images/real/cabins/cabin-03.jpg,https://unsplash.com/photos/the-interior-of-an-airplane-with-a-lot-of-seats-rJ4tFb4F-DE,Airplane cabin seating interior,Free to use under the Unsplash License
